DEVICE KERNEL DURATION [ns],INPUT_0_X,INPUT_0_Y,INPUT_0_MEMORY,INPUT_1_MEMORY,OUTPUT_0_MEMORY,TILES,shard_x,shard_y,start_x,start_y
188263,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,2,8,0,0
164260,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,2,8,1,0
151905,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,2,8,2,0
148440,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,2,8,3,0
144348,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,2,8,4,0
141646,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,2,8,5,0
140440,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,2,8,6,0
141378,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,8,2,0,0
138787,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,8,2,0,1
140354,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,8,2,0,2
138623,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,8,2,0,3
139492,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,8,2,0,4
139696,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,8,2,0,5
139075,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,8,2,0,6
151768,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,0,0
151930,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,0,1
151962,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,0,2
151683,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,0,3
150976,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,0,4
148618,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,1,0
149813,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,1,1
148737,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,1,2
148453,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,1,3
147960,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,1,4
143105,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,2,0
146049,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,2,1
146254,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,2,2
144365,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,2,3
144288,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,2,4
142432,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,3,0
141656,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,3,1
142188,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,3,2
141149,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,3,3
143528,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,3,4
139943,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,4,0
140997,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,4,1
139380,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,4,2
140336,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,4,3
140283,2048,2048,L1_INTERLEAVED,L1_INTERLEAVED,L1_HEIGHT_SHARDED,4096,4,4,4,4
