OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,ATTRIBUTES,MATH FIDELITY,CORE COUNT,PARALLELIZATION STRATEGY,HOST START TS,HOST END TS,HOST DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,OP TO OP LATENCY [ns],DEVICE FW DURATION [ns],DEVICE KERNEL DURATION [ns],DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],DEVICE COMPUTE CB WAIT FRONT [ns],DEVICE COMPUTE CB RESERVE BACK [ns],INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_0_LAYOUT,INPUT_0_DATATYPE,INPUT_0_MEMORY,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,INPUT_1_LAYOUT,INPUT_1_DATATYPE,INPUT_1_MEMORY,OUTPUT_0_W,OUTPUT_0_Z,OUTPUT_0_Y,OUTPUT_0_X,OUTPUT_0_LAYOUT,OUTPUT_0_DATATYPE,OUTPUT_0_MEMORY,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,COMPUTE KERNEL PATH,COMPUTE KERNEL SOURCE,COMPUTE KERNEL HASH,DATA MOVEMENT KERNEL SOURCE,DATA MOVEMENT KERNEL HASH,PM IDEAL [ns],PM COMPUTE [ns],PM BANDWIDTH [ns],PM REQ I BW,PM REQ O BW,CompileProgram_TT_HOST_FUNC [ns],HWCommandQueue_write_buffer_TT_HOST_FUNC [ns]
BinaryDeviceOperation,tt_dnn_device,0,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=1;y=7)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,2997742345,3202251276,204508931,15215946897639,15215947086475,0,188836,188263,187938,186852,187559,187450,187893,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],201756766,1126500
BinaryDeviceOperation,tt_dnn_device,1,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=1;y=0) - (x=2;y=7)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,3788679067,3791506414,2827347,15216527678066,15216527842909,580591591,164843,164260,163931,162878,163554,163463,163894,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],337893,1104379
BinaryDeviceOperation,tt_dnn_device,2,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=2;y=0) - (x=3;y=7)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,4376106110,4378915944,2809834,15217106588684,15217106741164,578745775,152480,151905,151553,150473,151170,151089,151520,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],329006,1127002
BinaryDeviceOperation,tt_dnn_device,3,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=3;y=0) - (x=4;y=7)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,4967777915,4970785158,3007243,15217689796835,15217689945850,583055671,149015,148440,148101,147016,147722,147631,148054,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],337673,1117765
BinaryDeviceOperation,tt_dnn_device,4,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=4;y=0) - (x=5;y=7)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,5558874902,5561826531,2951629,15218272312377,15218272457305,582366527,144928,144348,144019,142924,143622,143520,143960,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],218940,1125960
BinaryDeviceOperation,tt_dnn_device,5,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=5;y=0) - (x=6;y=7)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,6150236486,6152963704,2727218,15218854910556,15218855052781,582453251,142225,141646,141306,140218,140919,140827,141262,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],326421,1131780
BinaryDeviceOperation,tt_dnn_device,6,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=6;y=0) - (x=7;y=7)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,6743495984,6746022407,2526423,15219439366887,15219439507909,584314106,141022,140440,140113,139039,139711,139624,140057,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],188784,1141850
BinaryDeviceOperation,tt_dnn_device,7,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=1)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,7336993589,7339940639,2947050,15220024603810,15220024745768,585095901,141958,141378,141056,139950,140643,140550,141010,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],282309,1179398
BinaryDeviceOperation,tt_dnn_device,8,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=1) - (x=7;y=2)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,7930609475,7933391626,2782151,15220609483647,15220609623014,584737879,139367,138787,138452,137375,138066,137971,138409,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],373860,1163380
BinaryDeviceOperation,tt_dnn_device,9,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=2) - (x=7;y=3)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,8524042608,8526680199,2637591,15221194161240,15221194302176,584538226,140936,140354,140019,138934,139628,139535,139968,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],255849,1126551
BinaryDeviceOperation,tt_dnn_device,10,0,{'activations': 'std::nullopt'; 'binary_op_type': 'BinaryOpType::ADD'; 'compute_kernel_config': 'std::nullopt'; 'dtype': 'DataType::BFLOAT16'; 'input_tensor_a_activation': 'std::nullopt'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=3) - (x=7;y=4)]};shape={128; 2048};orientation=ShardOrientation::ROW_MAJOR;halo=0;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'scalar': 'std::nullopt'},HiFi4,64,,9116767846,9119517166,2749320,15221778415444,15221778554650,584113268,139206,138623,138292,137195,137892,137792,138245,,,,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_INTERLEAVED,1,1,2048,2048,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/compute/eltwise_binary_kernel.cpp'],['eltwise_binary_kernel/260400332086407948/'],['ttnn/cpp/ttnn/operations/eltwise/binary/device/kernels/dataflow/reader_binary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_binary_interleaved_start_id/7102356031933761011/'; 'writer_unary_interleaved_start_id/3580762451362578065/'],1941,1941,1,[4321.796875; 4321.796875],[4321.796875],322284,1193447
