INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY,NUM_TILES,AVG_DEVICE_KERNEL_DURATION [ns]
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,1,1708.8
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,10,2024.7
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,100,2945.9
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,1000,14867.5
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,2000,24495.2
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,5000,56425.0
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,8000,87768.4
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,10000,110940.2
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,12500,142336.5
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,1,1559.3
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,10,1669.6
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,100,2131.8
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,1000,7301.6
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,2000,12368.4
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,5000,27568.6
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,8000,43001.7
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,10000,53512.9
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,12500,66336.7
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,1,1602.4
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,10,1760.2
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,100,2383.0
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,1000,9103.4
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,2000,14874.5
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,5000,32316.3
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,8000,49975.1
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,10000,62677.9
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,12500,77106.8
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,1,1862.1
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,10,2229.5
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,100,3575.5
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,1000,17885.1
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,2000,31955.7
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,5000,79346.1
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,8000,122410.8
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,10000,156105.5
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,12500,189059.4
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,1,1685.1
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,10,1827.5
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,100,2508.4
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,1000,9495.4
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,2000,16769.5
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,5000,39760.8
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,8000,61347.9
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,10000,78214.0
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,12500,95777.3
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,1,1740.7
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,10,1893.1
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,100,2774.8
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,1000,11180.7
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,2000,19070.5
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,5000,46541.7
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,8000,70033.5
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,10000,92167.9
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,12500,108461.3
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,1,1833.3
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,10,2166.6
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,100,3352.9
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,1000,14982.7
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,2000,24815.1
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,5000,57455.7
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,8000,83727.2
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,10000,119517.8
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,12500,134783.9
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,1,1668.5
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,10,1791.6
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,100,2411.8
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,1000,9138.8
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,2000,16131.9
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,5000,38177.1
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,8000,58518.7
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,10000,74630.9
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,12500,91337.7
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,1,1709.1
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,10,1917.3
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,100,2715.6
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,1000,10351.0
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,2000,17526.1
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,5000,43177.5
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,8000,63974.2
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,10000,85232.2
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,12500,99350.6
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,1962.9
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10,2423.4
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,100,3925.3
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1000,24003.5
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,2000,42045.7
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,5000,105833.1
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8000,157182.8
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10000,224696.3
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,12500,249646.6
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,1791.5
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10,1974.6
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,100,2668.8
