DEVICE KERNEL DURATION [ns],NUM_TILES,INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY
1702,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1695,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1705,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1717,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1709,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1712,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1718,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1700,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1723,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1707,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1985,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2031,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2033,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2072,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2044,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2010,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2011,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2044,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2024,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1993,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2853,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2977,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2901,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2889,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3015,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2873,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3031,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2869,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2973,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3078,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
14311,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
14516,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15444,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
14727,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15162,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
14670,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
14788,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
14547,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15483,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15027,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
23788,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
23850,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
23893,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
25481,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
24688,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
25628,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
24862,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
23814,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
25032,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
23916,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
56026,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
55230,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
56731,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
54624,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
55745,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
58011,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
57201,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
57185,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
55828,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
57669,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
88235,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
87065,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
87440,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
85563,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
87970,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
89240,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
87104,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
87487,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
90055,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
87525,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
110214,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
112715,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
113289,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
109436,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
109360,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
110102,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
111268,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
110262,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
111367,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
111389,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
143009,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
145029,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
146036,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
144892,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
140632,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
141863,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
141394,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
137311,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
139843,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
143356,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
1812,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
1824,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
1806,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
1812,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
1845,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
1808,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
1972,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
1830,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
1810,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
1814,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2168,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2173,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2167,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2153,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2290,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2064,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2087,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2170,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2185,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2209,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3579,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3323,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3245,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3309,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3514,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3377,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3250,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3290,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3349,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3293,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15491,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15811,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
14575,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15383,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15054,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
14096,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
14940,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
14817,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15274,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
14386,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
25549,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
24629,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
24974,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
25321,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
24584,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
24825,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
24420,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
24968,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
24546,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
24335,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
57891,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
56360,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
59465,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
58180,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
56713,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
58564,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
56928,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
56146,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
57362,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
56948,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
85358,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
82655,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
83707,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
83951,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
82474,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
83878,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
84426,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
85113,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
83301,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
82409,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
118419,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
115923,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
119436,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
124635,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
120807,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
120225,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
118403,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
118617,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
119312,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
119401,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
133500,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
138379,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
143013,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
132675,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
137490,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
132390,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
130947,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
131969,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
133452,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
134024,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
1834,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
1854,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
1848,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
1864,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
1834,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
1850,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2024,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
1833,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
1837,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
1843,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2195,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2291,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2304,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2237,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2119,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2181,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2325,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2200,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2314,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2129,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3677,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3567,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3411,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3671,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3684,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3622,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3651,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3529,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3483,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3460,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
17805,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
17352,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
17778,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
17892,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
18053,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
