Input Memory,Output Memory,Input Datatype,Num Tiles,Actual Duration [ns],Estimated Duration [ns]
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1908,2036.1349573198675
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1880,2036.1349573198675
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1913,2036.1349573198675
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1891,2036.1349573198675
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1905,2036.1349573198675
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1890,2036.1349573198675
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1899,2036.1349573198675
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1903,2036.1349573198675
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1889,2036.1349573198675
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1893,2036.1349573198675
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2186,2202.344099589271
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2227,2202.344099589271
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2243,2202.344099589271
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2182,2202.344099589271
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2179,2202.344099589271
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2193,2202.344099589271
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2174,2202.344099589271
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2183,2202.344099589271
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2238,2202.344099589271
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2181,2202.344099589271
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3601,4196.853806822113
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3832,4196.853806822113
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3921,4196.853806822113
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3791,4196.853806822113
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3692,4196.853806822113
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3647,4196.853806822113
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3610,4196.853806822113
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3764,4196.853806822113
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3793,4196.853806822113
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3702,4196.853806822113
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,8202,7521.036652210182
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,8076,7521.036652210182
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,8239,7521.036652210182
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,8191,7521.036652210182
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,8300,7521.036652210182
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,7930,7521.036652210182
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,8184,7521.036652210182
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,7976,7521.036652210182
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,8186,7521.036652210182
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,7787,7521.036652210182
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,35190,35222.56036377743
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,34782,35222.56036377743
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,33172,35222.56036377743
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,35081,35222.56036377743
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,34346,35222.56036377743
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,35400,35222.56036377743
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,35059,35222.56036377743
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,34743,35222.56036377743
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,36118,35222.56036377743
