INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY,NUM_TILES,AVG_DEVICE_KERNEL_DURATION [ns]
BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,1,772.2
BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,16,5640.9
BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,4,1777.1
BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,64,21229.35
BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,8,3115.4
BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,256,83269.2
BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,128,41965.65
BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,32,10967.3
BFLOAT8_B,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,1,753.9
BFLOAT8_B,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,16,5502.35
BFLOAT8_B,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,4,1734.3
BFLOAT8_B,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,64,20689.15
BFLOAT8_B,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,8,3042.8
BFLOAT8_B,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,256,81114.9
BFLOAT8_B,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,128,40889.55
BFLOAT8_B,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,32,10693.6
BFLOAT8_B,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,512,161807.4
BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,1,771.0
BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,16,5638.7
BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,4,1776.5
BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,64,21231.85
BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,8,3123.6
BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,256,83268.2
BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,128,41966.75
BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,32,10972.5
BFLOAT8_B,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,1,752.0
BFLOAT8_B,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,16,5499.1
BFLOAT8_B,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,4,1738.1
BFLOAT8_B,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,64,20689.8
BFLOAT8_B,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,8,3046.3
BFLOAT8_B,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,256,81113.8
BFLOAT8_B,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,128,40890.85
BFLOAT8_B,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,32,10701.3
BFLOAT8_B,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,512,161804.1
BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,1,862.7666666666667
BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,16,5692.425
BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,4,1820.9333333333334
BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,64,21239.5
BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,8,3117.6
BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,2,1240.6
BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,256,83310.66666666667
BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,128,41955.45
BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,32,10938.05
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,1,844.5
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,16,5554.225
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,4,1781.8666666666666
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,64,20699.066666666666
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,8,3040.65
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,2,1214.45
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,256,81158.2
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,128,40875.25
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,32,10663.55
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,512,161805.6
