DEVICE KERNEL DURATION [ns],NUM_TILES,INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY
772,1,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
766,1,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
779,1,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
774,1,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
780,1,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
765,1,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
763,1,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
771,1,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
772,1,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
780,1,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5622,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
1835,4,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5626,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
1777,4,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5626,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
1769,4,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5627,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
1771,4,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5626,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
1768,4,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5615,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
1773,4,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5628,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
1781,4,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5619,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
1768,4,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5622,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
1766,4,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5633,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
1763,4,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21146,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5717,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
3129,8,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21143,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5645,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
3114,8,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21144,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5648,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
3108,8,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21147,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
5658,16,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
3121,8,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
