Input Memory,Output Memory,Input Datatype,Num Tiles,Mean Duration [ns],Std Dev Duration [ns],Std Dev/Mean
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,767.9,4.5265881191025095,0.005894762493947792
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5640.1,21.96110197599383,0.0038937433690881063
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1776.3,16.523014252853507,0.009301927744667853
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21233.4,87.45078615998828,0.0041185484265350005
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3121.5,7.90253124005214,0.002531645439709159
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83265.6,4.103656905736638,4.9283940855967377e-05
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41966.25,41.99627959712622,0.0010007155654156905
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,10967.5,23.606143268225754,0.002152372306197926
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,767.5,5.142956348249516,0.006700920323452138
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5642.6,21.74488445588985,0.0038536994392460652
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1776.0,23.345235059857504,0.013144839560730577
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21233.25,85.91092771004163,0.004046056430835677
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3119.6,10.071742649611338,0.003228536559049666
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83267.7,7.184010022264724,8.627607130093331e-05
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41966.25,41.53056103642232,0.000989618110658501
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,10971.8,27.421889066947955,0.0024993063186485314
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,861.9,69.6976087585985,0.08086507571481437
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5693.75,64.6771791283448,0.011359328935823457
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1820.5,40.14286985256535,0.022050464077212496
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,64,21239.0,69.82979306857496,0.0032878098342000546
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,8,3117.2,14.82430436816514,0.004755647493957764
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,2,1239.3,30.935578223139782,0.024962138483934304
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,256,83311.26666666666,36.082251715890585,0.0004331017059224153
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,128,41954.675,37.75207775738973,0.0008998300608308782
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,32,10937.6,28.929915312700107,0.0026449966457632486
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT8_B,1,750.8,1.9390719429665317,0.0025826744045904793
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT8_B,16,5501.8,21.013329103214463,0.003819355320661322
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT8_B,4,1735.3,17.515992692394,0.010093927673828157
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT8_B,64,20689.1,84.65984880685767,0.004092002494398388
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT8_B,8,3041.2,9.119210492142399,0.00299855665268394
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT8_B,256,81113.6,6.575712889109439,8.106794531508203e-05
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT8_B,128,40889.4,47.53251518697492,0.0011624654601675476
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT8_B,32,10698.1,25.83195695258104,0.002414630350490371
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT8_B,512,161806.8,5.287721626560915,3.2679229961663634e-05
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT8_B,1,751.4,8.890444308357146,0.011831839643807754
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT8_B,16,5502.0,20.854256160314133,0.0037903046456405185
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT8_B,4,1735.8,22.18467939817928,0.012780665628631917
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT8_B,64,20687.5,87.62448288007182,0.004235624550094106
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT8_B,8,3044.4,6.26418390534633,0.0020576086931238767
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT8_B,256,81113.2,7.2083285163760396,8.886751498370228e-05
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT8_B,128,40891.0,46.843355985667806,0.001145566407905598
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT8_B,32,10696.8,26.873034811870426,0.0025122499076238153
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT8_B,512,161805.2,7.467261881037787,4.614970273537431e-05
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT8_B,1,847.2666666666667,71.2254324116198,0.08406495288176073
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT8_B,16,5554.875,65.16639759108985,0.011731388661507207
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT8_B,4,1779.1333333333334,40.635561874900766,0.02284008798754118
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT8_B,64,20697.5,70.38406543150705,0.0034006070989978042
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT8_B,8,3044.95,18.696189451329378,0.006140064517095315
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT8_B,2,1216.2,31.139364155358088,0.025603818578653254
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT8_B,256,81157.16666666667,41.69978683665209,0.0005138152124990246
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT8_B,128,40871.725,38.19554129738182,0.0009345223696181609
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT8_B,32,10664.95,28.066839864865443,0.002631689774904284
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT8_B,512,161802.65,16.83233495389157,0.00010403003259768348
